task_id,mbpp_task_id,split,category,difficulty,prompt,function_name,cheap_score,expensive_score,cheap_pass,expensive_pass,oracle_score_label,oracle_strict_label,oracle_best_score,delta_score,route_cheap_cost,route_expensive_cost,delta_cost,n_failed_by_cheap_only,cheap_model_name,expensive_model_name,device,cheap_device,expensive_device,torch_dtype,prompt_format,cheap_entropy_mean,cheap_entropy_max,cheap_entropy_std,cheap_entropy_last,cheap_margin_mean,cheap_margin_min,cheap_top1_prob_mean,cheap_top1_prob_min,cheap_surprisal_mean,cheap_surprisal_max,agree_last_exact,agree_last_cheap_in_exp_topk,agree_last_cheap_rank_in_exp_topk,agree_last_exp_in_cheap_topk,agree_last_kl_exp_to_cheap,agree_last_kl_cheap_to_exp,agree_seq_exact_mean,agree_seq_topk_mean,agree_seq_kl_mean,novelty_mean,novelty_max,curvature_mean,curvature_max,frac_structural,n_tokens,n_words,cheap_generated_tokens,expensive_generated_tokens,cheap_generation_time_seconds,expensive_generation_time_seconds,cheap_failed_tests,expensive_failed_tests,cheap_test_count,expensive_test_count,feature_time_seconds,generation_time_seconds
mbpp_task464,464,train,code,hard,"Write a Python function for the task below. The function must be named check_value. Return only Python code.

Task: Write a function to check if all values are same in a dictionary.",check_value,0.0,0.0,False,False,cheap_only,cheap_only,0.0,0.0,50.35,51.0,-0.6499999999999986,0,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,split,cuda:0,cuda:1,float16,auto,0.1803407520055771,0.73876953125,0.1454055905342102,0.08673095703125,0.40380796790122986,0.9999785423278809,0.5347157120704651,0.9999841451644897,0.2561347186565399,1.0,1.0,1.0,1.0,1.0,0.45567047595977783,0.36390742659568787,0.6268656849861145,0.5641791224479675,1.3630427122116089,0.4371553063392639,1.0,0.30138444900512695,1.0,0.16417910447761194,67.0,32.0,131,77,6.714144383999951,4.96054841199998,3,3,3,3,0.89603570700001,11.674692795999931
mbpp_task803,803,train,code,hard,"Write a Python function for the task below. The function must be named is_perfect_square. Return only Python code.

Task: Write a function to check whether the given number is a perfect square or not. https://www.geeksforgeeks.org/check-if-given-number-is-perfect-square-in-cpp/",is_perfect_square,1.0,1.0,True,True,cheap_only,cheap_only,1.0,0.0,0.35,1.0,-0.65,0,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,split,cuda:0,cuda:1,float16,auto,0.1399579793214798,0.73876953125,0.14099138975143433,0.09722900390625,0.5112128257751465,0.9999915361404419,0.6274091601371765,0.9999946355819702,0.22400029003620148,1.0,1.0,1.0,1.0,1.0,0.20355837047100067,0.18065756559371948,0.717391312122345,0.606521725654602,1.0495121479034424,0.4512709677219391,1.0,0.27951252460479736,1.0,0.2608695652173913,92.0,47.0,249,42,10.041049484000041,2.6619788020000215,0,0,6,6,0.43744130300001416,12.703028286000063
mbpp_task752,752,train,code,hard,"Write a Python function for the task below. The function must be named jacobsthal_num. Return only Python code.

Task: Write a function to find the nth jacobsthal number. https://www.geeksforgeeks.org/jacobsthal-and-jacobsthal-lucas-numbers/ 0, 1, 1, 3, 5, 11, 21, 43, 85, 171, 341, 683, 1365, 2731, ...",jacobsthal_num,0.0,0.0,False,False,cheap_only,cheap_only,0.0,0.0,50.35,51.0,-0.6499999999999986,0,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,split,cuda:0,cuda:1,float16,auto,0.13457930088043213,0.73779296875,0.13725988566875458,0.11181640625,0.5340829491615295,0.9999759793281555,0.6376140117645264,0.9999821186065674,0.1909990757703781,1.0,1.0,1.0,1.0,1.0,0.10599188506603241,0.11542004346847534,0.6866666674613953,0.6013333201408386,0.9786767363548279,0.4265468120574951,1.0,0.3552458584308624,1.0,0.44,150.0,51.0,256,179,10.375197337000031,20.076122113999986,4,4,4,4,0.5015347889999475,30.451319451000018
mbpp_task434,434,train,code,hard,"Write a Python function for the task below. The function must be named text_match_one. Return only Python code.

Task: Write a function that matches a string that has an a followed by one or more b's.",text_match_one,0.0,0.0,False,False,cheap_only,cheap_only,0.0,0.0,50.35,51.0,-0.6499999999999986,0,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,split,cuda:0,cuda:1,float16,auto,0.19002123177051544,0.73876953125,0.13825485110282898,0.09112548828125,0.3725190758705139,0.9999768733978271,0.5047608017921448,0.9999821186065674,0.26398709416389465,1.0,0.0,1.0,2.0,1.0,0.6545973420143127,0.5263068675994873,0.5479452013969421,0.5424658060073853,1.4298858642578125,0.4359857141971588,1.0,0.28973594307899475,1.0,0.1506849315068493,73.0,37.0,152,236,5.864237785,23.55544200299994,3,3,3,3,0.4473984480000581,29.41967978799994
mbpp_task133,133,train,code,hard,"Write a Python function for the task below. The function must be named sum_negativenum. Return only Python code.

Task: Write a function to calculate the sum of the negative numbers of a given list of numbers.",sum_negativenum,1.0,1.0,True,True,cheap_only,cheap_only,1.0,0.0,0.35,1.0,-0.65,0,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,split,cuda:0,cuda:1,float16,auto,0.1589716374874115,0.73876953125,0.1402619630098343,0.095703125,0.44865351915359497,0.9999775886535645,0.5802196860313416,0.9999840259552002,0.25230005383491516,1.0,1.0,1.0,1.0,1.0,0.214188814163208,0.20865988731384277,0.6756756901741028,0.5648648738861084,1.24008047580719,0.4504361152648926,1.0,0.30454620718955994,1.0,0.13513513513513514,74.0,36.0,75,75,2.9543259040000294,5.122784188999958,0,0,3,3,0.42784678900000017,8.077110092999988
mbpp_task431,431,train,code,hard,"Write a Python function for the task below. The function must be named common_element. Return only Python code.

Task: Write a function that takes two lists and returns true if they have at least one common element.",common_element,0.3333333333333333,0.3333333333333333,False,False,cheap_only,cheap_only,0.3333333333333333,0.0,50.35,51.0,-0.6499999999999986,0,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,split,cuda:0,cuda:1,float16,auto,0.16982682049274445,0.73876953125,0.144928440451622,0.09283447265625,0.40698912739753723,0.9999781847000122,0.5458580851554871,0.999984622001648,0.24156294763088226,1.0,1.0,1.0,1.0,1.0,0.40428033471107483,0.3275705575942993,0.6527777910232544,0.5722222328186035,1.2876816987991333,0.41226255893707275,1.0,0.2750914990901947,1.0,0.1527777777777778,72.0,37.0,213,38,8.631680032000077,2.336471655999958,2,2,3,3,0.41846103500006393,10.968151688000034
mbpp_task474,474,train,code,hard,"Write a Python function for the task below. The function must be named replace_char. Return only Python code.

Task: Write a function to replace characters in a string.",replace_char,1.0,1.0,True,True,cheap_only,cheap_only,1.0,0.0,0.35,1.0,-0.65,0,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,split,cuda:0,cuda:1,float16,auto,0.18068717420101166,0.73779296875,0.14592748880386353,0.09918212890625,0.4069996774196625,0.9999756217002869,0.5368894934654236,0.999982476234436,0.2516465485095978,1.0,0.0,1.0,2.0,1.0,0.8636268377304077,0.7710075974464417,0.5873016119003296,0.5523809194564819,1.4358185529708862,0.4522824287414551,1.0,0.2964446544647217,1.0,0.15873015873015872,63.0,28.0,101,235,4.02404353999998,25.207897709000008,0,0,3,3,0.4424913819999574,29.231941248999988
mbpp_task473,473,train,code,hard,"Write a Python function for the task below. The function must be named tuple_intersection. Return only Python code.

Task: Write a function to find the tuple intersection of elements in the given tuple list irrespective of their order.",tuple_intersection,0.0,0.0,False,False,cheap_only,cheap_only,0.0,0.0,50.35,51.0,-0.6499999999999986,0,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,split,cuda:0,cuda:1,float16,auto,0.17131121456623077,0.73876953125,0.13569419085979462,0.1162109375,0.4073050320148468,0.9999785423278809,0.54353266954422,0.9999840259552002,0.2608130872249603,1.0,1.0,1.0,1.0,1.0,0.10469690710306168,0.1205146387219429,0.6301369667053223,0.567123293876648,1.333650827407837,0.4441431164741516,1.0,0.29503047466278076,1.0,0.136986301369863,73.0,38.0,235,108,9.275768370000037,9.145361925999964,3,3,3,3,0.4147259840001425,18.421130296
mbpp_task105,105,train,code,hard,"Write a Python function for the task below. The function must be named count. Return only Python code.

Task: Write a python function to count true booleans in the given list.",count,0.0,1.0,False,True,expensive_only,expensive_only,1.0,1.0,50.35,1.0,49.35,1,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,split,cuda:0,cuda:1,float16,auto,0.1783863604068756,0.73876953125,0.14323896169662476,0.09674072265625,0.41603395342826843,0.9999780058860779,0.5415220260620117,0.9999836683273315,0.2694287598133087,1.0,0.0,1.0,2.0,1.0,0.7693213820457458,0.5840342044830322,0.6212121248245239,0.5787878632545471,1.3691271543502808,0.452361136674881,1.0,0.3245282471179962,1.0,0.15151515151515152,66.0,31.0,71,90,2.8971481969999786,7.162161216999948,3,0,3,3,0.4449112810000315,10.059309413999927
mbpp_task2,2,train,code,hard,"Write a Python function for the task below. The function must be named set. Return only Python code.

Task: Write a function to find the shared elements from the given two lists.",set,0.0,0.0,False,False,cheap_only,cheap_only,0.0,0.0,50.35,51.0,-0.6499999999999986,0,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,split,cuda:0,cuda:1,float16,auto,0.1865149885416031,0.73876953125,0.14399072527885437,0.09149169921875,0.38703295588493347,0.9999789595603943,0.5185041427612305,0.9999847412109375,0.2634612023830414,1.0,0.0,1.0,2.0,1.0,0.4886396825313568,0.38026687502861023,0.6060606241226196,0.575757622718811,1.3643467426300049,0.45661264657974243,1.0,0.31785017251968384,1.0,0.16666666666666666,66.0,32.0,97,83,3.8306281899999703,6.1770909459999075,3,3,3,3,0.4246733499999209,10.007719135999878
