task_id,category,difficulty,prompt,function_name,cheap_score,expensive_score,oracle_strict_label,oracle_score_label,oracle_best_score,cheap_pass,expensive_pass
mbpp_000001,code,medium,"Write a Python function for the task below. The function must be named tuple_to_int. Return only Python code.

Task: Write a function to convert a given tuple of positive integers into a single integer.",tuple_to_int,1.0,1.0,cheap_only,cheap_only,1.0,True,True
mbpp_000002,code,medium,"Write a Python function for the task below. The function must be named check_monthnumb_number. Return only Python code.

Task: Write a function to check whether the given month number contains 31 days or not.",check_monthnumb_number,1.0,1.0,cheap_only,cheap_only,1.0,True,True
mbpp_000003,code,medium,"Write a Python function for the task below. The function must be named square_Sum. Return only Python code.

Task: Write a python function that takes in an integer n and returns the sum of the squares of the first n odd natural numbers.",square_Sum,0.0,1.0,expensive_only,expensive_only,1.0,False,True
mbpp_000004,code,hard,"Write a Python function for the task below. The function must be named snake_to_camel. Return only Python code.

Task: Write a function to convert a snake case string to camel case string.",snake_to_camel,1.0,0.0,cheap_only,cheap_only,1.0,True,False
mbpp_000005,code,hard,"Write a Python function for the task below. The function must be named get_median. Return only Python code.

Task: Write a function to find the median of two sorted lists of same size.",get_median,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000006,code,medium,"Write a Python function for the task below. The function must be named amicable_numbers_sum. Return only Python code.

Task: Write a function to sum all amicable numbers from 1 to a specified number.",amicable_numbers_sum,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000007,code,hard,"Write a Python function for the task below. The function must be named count_Occurrence. Return only Python code.

Task: Write a python function to count the occurence of all elements of list in a tuple.",count_Occurrence,1.0,0.0,cheap_only,cheap_only,1.0,True,False
mbpp_000008,code,hard,"Write a Python function for the task below. The function must be named max_product_tuple. Return only Python code.

Task: Write a function to find the maximum absolute product between numbers in pairs of tuples within a given list.",max_product_tuple,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000009,code,medium,"Write a Python function for the task below. The function must be named count_first_elements. Return only Python code.

Task: Write a function to find the number of elements that occurs before the tuple element in the given tuple.",count_first_elements,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000010,code,hard,"Write a Python function for the task below. The function must be named max_val. Return only Python code.

Task: Write a function to find the maximum value in a given heterogeneous list.",max_val,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000011,code,medium,"Write a Python function for the task below. The function must be named perfect_squares. Return only Python code.

Task: Write a function to find perfect squares between two given numbers.",perfect_squares,0.3333333333333333,1.0,expensive_only,expensive_only,1.0,False,True
mbpp_000012,code,hard,"Write a Python function for the task below. The function must be named number_of_substrings. Return only Python code.

Task: Write a python function to count the number of non-empty substrings of a given string.",number_of_substrings,1.0,1.0,cheap_only,cheap_only,1.0,True,True
mbpp_000013,code,hard,"Write a Python function for the task below. The function must be named count_rotation. Return only Python code.

Task: Write a python function to count the number of rotations required to generate a sorted array. https://www.geeksforgeeks.org/count-of-rotations-required-to-generate-a-sorted-array/",count_rotation,0.6,0.0,cheap_only,cheap_only,0.6,False,False
mbpp_000014,code,hard,"Write a Python function for the task below. The function must be named is_majority. Return only Python code.

Task: Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)",is_majority,0.75,0.75,cheap_only,cheap_only,0.75,False,False
mbpp_000015,code,hard,"Write a Python function for the task below. The function must be named min_k. Return only Python code.

Task: Write a function to find minimum k records from tuple list. https://www.geeksforgeeks.org/python-find-minimum-k-records-from-tuple-list/ - in this case a verbatim copy of test cases",min_k,0.6666666666666666,0.6666666666666666,cheap_only,cheap_only,0.6666666666666666,False,False
mbpp_000016,code,hard,"Write a Python function for the task below. The function must be named swap_List. Return only Python code.

Task: Write a python function to interchange the first and last elements in a list.",swap_List,1.0,1.0,cheap_only,cheap_only,1.0,True,True
mbpp_000017,code,medium,"Write a Python function for the task below. The function must be named check_type. Return only Python code.

Task: Write a function to check if all the elements in tuple have same data type or not.",check_type,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000018,code,medium,"Write a Python function for the task below. The function must be named extract_even. Return only Python code.

Task: Write a function to remove uneven elements in the nested mixed tuple.",extract_even,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000019,code,medium,"Write a Python function for the task below. The function must be named and_tuples. Return only Python code.

Task: Write a function to extract the elementwise and tuples from the given two tuples.",and_tuples,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000020,code,medium,"Write a Python function for the task below. The function must be named concatenate_tuple. Return only Python code.

Task: Write a function to concatenate each element of tuple by the delimiter.",concatenate_tuple,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000021,code,hard,"Write a Python function for the task below. The function must be named index_minimum. Return only Python code.

Task: Given a list of tuples, write a function that returns the first value of the tuple with the smallest second value.",index_minimum,1.0,1.0,cheap_only,cheap_only,1.0,True,True
mbpp_000022,code,hard,"Write a Python function for the task below. The function must be named cummulative_sum. Return only Python code.

Task: Write a function to find the cumulative sum of all the values that are present in the given tuple list.",cummulative_sum,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000023,code,hard,"Write a Python function for the task below. The function must be named count_Pairs. Return only Python code.

Task: Write a python function which takes a list of integers and counts the number of possible unordered pairs where both elements are unequal.",count_Pairs,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000024,code,medium,"Write a Python function for the task below. The function must be named geometric_sum. Return only Python code.

Task: Write a function to calculate the geometric sum of n-1. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-recursion-exercise-9.php",geometric_sum,0.0,0.0,cheap_only,cheap_only,0.0,False,False
mbpp_000025,code,hard,"Write a Python function for the task below. The function must be named first_repeated_char. Return only Python code.

Task: Write a python function to find the first repeated character in a given string.",first_repeated_char,1.0,1.0,cheap_only,cheap_only,1.0,True,True
mbpp_000026,code,medium,"Write a Python function for the task below. The function must be named find_Average_Of_Cube. Return only Python code.

Task: Write a python function to find the average of cubes of first n natural numbers.",find_Average_Of_Cube,1.0,1.0,cheap_only,cheap_only,1.0,True,True
mbpp_000027,code,hard,"Write a Python function for the task below. The function must be named set. Return only Python code.

Task: Write a function to flatten the list of lists into a single set of numbers.",set,0.0,0.0,cheap_only,cheap_only,0.0,False,False
